,Total Revenue Qtr cr,Operating Expenses Qtr Cr,Operating Profit Qtr Cr,Depreciation Qtr Cr,Interest Qtr Cr,Profit Before Tax Qtr Cr,Tax Qtr Cr,Net Profit Qtr Cr
Dec-2019,664.2,393.9,57.4,21.8,144.1,645.5,43.8,601.7
Mar-2020,1005.4,671.3,213.4,33.1,151.9,51.5,1128.4,-1077.0
Jun-2020,385.8,257.7,12.3,21.1,160.2,-53.3,-13.3,-40.0
Sep-2020,1333.0,633.2,436.3,20.9,151.6,482.0,84.0,397.9
Dec-2020,1303.2,719.3,519.7,20.0,124.5,439.4,133.0,306.4
Mar-2021,1407.4,734.5,580.4,20.7,120.1,532.2,120.6,411.6
Jun-2021,949.0,454.7,415.6,19.1,115.7,359.5,89.8,269.7
Sep-2021,1336.4,528.7,433.2,19.3,121.1,667.3,88.2,579.1
Dec-2021,1119.7,575.5,480.8,19.4,99.6,190.0,47.9,142.1
Mar-2022,1134.5,626.0,443.2,18.9,91.0,398.7,98.7,300.1
Jun-2022,1007.1,586.0,383.4,19.0,76.1,326.0,81.9,244.2
