Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021
Total Revenue Qtr cr,576.6,652.1,522.9,549.7,320
Operating Expenses Qtr Cr,448.8,457.9,327.5,383.5,215.7
Operating Profit Qtr Cr,121.2,190.7,189.6,151,96.2
Operating Profit Margin Qtr %,21.27%,29.40%,36.67%,28.26%,30.84%
Depreciation Qtr Cr,24.6,25.6,22.5,22.5,20.2
Interest Qtr Cr,4.8,1.9,3.4,70,60.5
Profit Before Tax Qtr Cr,48.6,166.7,169.5,73.8,23.6
Tax Qtr Cr,9.9,18.6,26.7,6.7,2.2
Net Profit Qtr Cr,38.6,148.1,142.8,67.2,21.4
Basic EPS Qtr Rs,2.4,9.4,9,4.7,1.4
