Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020
Total Revenue Qtr cr,641.4,532.5,555.7,465.1,316,372.6,339.8,222.7
Operating Expenses Qtr Cr,491.5,411.7,430.7,357.4,264.9,285.7,252.4,177.5
Operating Profit Qtr Cr,143,118.2,121.6,107.6,41.4,100.4,82.6,4.9
Operating Profit Margin Qtr %,22.54%,22.30%,22.02%,23.38%,13.31%,26.00%,24.69%,2.40%
Depreciation Qtr Cr,54.5,56,47.1,43.1,39.1,48.2,40.1,55.8
Interest Qtr Cr,27.8,26.9,24.2,27.7,27,26.6,34.1,32.6
Profit Before Tax Qtr Cr,67.6,37.7,53.7,40.5,-19.6,3.1,65.9,-60.8
Tax Qtr Cr,0,-41.1,0,0,0,0,0,0
Net Profit Qtr Cr,67.6,78.8,53.7,40.5,-19.6,6.9,67.5,-61
Basic EPS Qtr Rs,0.6,0.7,0.5,0.3,-0.2,0.1,0.6,-0.6
