Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Sep-2020,Jun-2020
Total Revenue Qtr cr,499.4,519.2,526,563.9,528.9,46.8,520.8,397.1
Operating Expenses Qtr Cr,343.1,371.8,376.4,394.4,364.4,29.7,393.9,257.5
Operating Profit Qtr Cr,146.8,142.2,146.1,167.3,160.4,17,126.9,139.4
Operating Profit Margin Qtr %,29.96%,27.66%,27.95%,29.79%,30.57%,36.37%,24.37%,35.13%
Depreciation Qtr Cr,9.9,9.6,9.7,9.7,8.9,0.8,8.3,8.3
Interest Qtr Cr,0.1,0.1,0.1,7.2,20.6,2.1,21.9,22.8
Profit Before Tax Qtr Cr,146.2,137.6,139.8,152.5,135,14.1,96.7,108.5
Tax Qtr Cr,37.5,38.7,36.1,37.3,34.1,3.6,24.2,27.4
Net Profit Qtr Cr,108.7,98.9,103.7,115.2,100.9,10.5,72.5,81.1
Basic EPS Qtr Rs,8.9,8.1,8.7,9.8,9.4,9.7,6.7,82.7
