Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,1407.3,1621.9,1618.2,1801.8,1747.6,1743.9,1759.7,1556.2,979.7,1196
Operating Expenses Qtr Cr,1310.4,1448.4,1441.1,1520.9,1402.3,1442.1,1391.5,1245.7,794.7,1008.8
Operating Profit Qtr Cr,70.7,148.7,152.5,261.2,328.3,276.7,348.5,290.2,167,175.9
Operating Profit Margin Qtr %,5.12%,9.31%,9.57%,14.66%,18.97%,16.10%,20.03%,18.89%,17.37%,14.85%
Depreciation Qtr Cr,60.9,70.3,69.7,69.9,66.2,82.3,83.2,83.4,81.2,97.3
Interest Qtr Cr,13.4,11.5,25.6,14.8,29.3,37.3,20,21.1,23,31.6
Profit Before Tax Qtr Cr,22.6,91.7,81.7,196.1,249.8,182.2,265,206,80.8,58.3
Tax Qtr Cr,7.9,50.6,25.7,69.2,81.8,45.6,80.1,55.7,26.1,-1.5
Net Profit Qtr Cr,14.7,41.1,56,126.9,168.1,136.6,184.9,150.3,54.8,59.8
Basic EPS Qtr Rs,0.1,0.4,0.6,1.3,1.7,1.4,1.8,1.5,0.5,0.6
